id,name,start_date,end_date,replaces,replaced_by
Q3318654,Mohamed Lamine Debaghine (FLN),1958-09-19,1959-03-15,,Q206433
Q206433,Krim Belkacem (FLN),1960-01-18,1961-08-09,Q3318654,Q3474760
Q3474760,Saâd Dahlab (FLN),1961-08-09,1962-07-22,Q206433,Q2386441
Q2386441,Mohamed Khemisti (FLN),1962-09-27,1963-04-11,Q3474760,Q179908
Q179908,Ahmed Ben Bella (FLN),1963-04-11,1963-09-04,Q2386441,Q57308
Q57308,Abdelaziz Bouteflika (FLN),1963-09-04,1979-03-08,Q179908,Q510018
Q510018,Mohamed Seddik Ben Yahia (FLN),1979-03-08,1982-05-03,Q57308,Q2827669
Q2827669,Ahmed Taleb Ibrahimi (FLN),1982-05-08,1988-11-09,Q510018,Q2911920
Q2911920,Boualem Bessaih (FLN),1988-11-09,1989-09-09,Q2827669,Q327010
Q327010,Sid Ahmed Ghozali (FLN),1989-09-09,1991-06-05,Q2911920,Q466995
Q466995,Lakhdar Brahimi (FLN),1991-06-05,1993-02-03,Q327010,Q1938509
Q1938509,Redha Malek (FLN),1993-02-03,1993-08-21,Q466995,Q3318782
Q3318782,Mohamed Salah Dembri (FLN),1993-08-21,1995-11-27,Q1938509,Q3324983
Q3324983,Mostefa Benmansour (FLN),1995-11-27,1995-12-31,Q3318782,Q401156
Q401156,Ahmed Attaf (RND),1995-12-31,1999-12-23,Q3324983,Q3572799
Q3572799,Youcef Yousfi (RND),1999-12-23,2000-08-26,Q401156,Q307857
Q307857,Abdelaziz Belkhadem (FLN),2000-08-26,2005-05-01,Q3572799,Q1398046
Q1398046,Mohamed Bedjaoui (FLN),2005-05-01,2007-06-04,Q307857,Q58145
Q58145,Mourad Medelci (FLN),2007-06-04,2013-09-11,Q1398046,Q2130427
Q2130427,Ramtane Lamamra,2013-09-11,2017-05-25,Q58145,Q5654785
Q5654785,Abdelkader Messahel,2017-05-25,2019-03-13,Q2130427,Q2130427
Q2130427,Ramtane Lamamra,2019-03-13,2019-04-02,Q5654785,Q62635974
Q62635974,Sabri Boukadoum,2019-04-02,"",Q2130427,
